Descrição do Item;Unid.;Cód.Grupo;GRUPO DE PRODUTOS;INSUMOS/PRODUTOS;FORNECEDOR/PRODUTOS
Abafador de ouvido;UN;14;EPI;ABAFADOR;
Abracadeira;UN;13;ELÉTRICA, TELEFONE E LÓGICA;ABRAÇADEIRA;
Abraçadeira com presilha D;UN;13;ELÉTRICA, TELEFONE E LÓGICA;ABRAÇADEIRA;
Abraçadeira econômica 1 1/2;UN;29;HIDROSANITÁRIO E GAS;ABRAÇADEIRA;
Abraçadeira econômica 2;UN;13;ELÉTRICA, TELEFONE E LÓGICA;ABRAÇADEIRA;
Abraçadeira econômica 3;UN;13;ELÉTRICA, TELEFONE E LÓGICA;ABRAÇADEIRA;
Abraçadeira econômica 3/4;UN;29;HIDROSANITÁRIO E GAS;ABRAÇADEIRA;
Abraçadeira econômica 4;UN;13;ELÉTRICA, TELEFONE E LÓGICA;ABRAÇADEIRA;
Abraçadeira econômica 6;UN;13;ELÉTRICA, TELEFONE E LÓGICA;ABRAÇADEIRA;
Abraçadeira Guia Reforçada p Mastro 1 1/2 - 1 descida (Para- raio);UN;13;ELÉTRICA, TELEFONE E LÓGICA;ABRAÇADEIRA;
Abraçadeira Guia Reforçada p Mastro 1 1/2 - 2 descidas (Para- raio);UN;13;ELÉTRICA, TELEFONE E LÓGICA;ABRAÇADEIRA;
Abraçadeira Guia Reforçada p Mastro 2 - 1 descida (Para- raio);UN;13;ELÉTRICA, TELEFONE E LÓGICA;ABRAÇADEIRA;
Abraçadeira Guia Reforçada p Mastro 2 - 2 descida (Para- raio);UN;13;ELÉTRICA, TELEFONE E LÓGICA;ABRAÇADEIRA;
Abraçadeira Guia Simples p Mastro 1 1/2 - 1 descidas (Para- raio);UN;13;ELÉTRICA, TELEFONE E LÓGICA;ABRAÇADEIRA;
Abraçadeira Guia Simples p Mastro 1 1/2 - 2 descidas (Para-raio);UN;13;ELÉTRICA, TELEFONE E LÓGICA;ABRAÇADEIRA;
Abraçadeira Guia Simples p Mastro 2 - 1 descidas (Para- raio);UN;13;ELÉTRICA, TELEFONE E LÓGICA;ABRAÇADEIRA;
Abraçadeira Guia Simples p Mastro 2 - 2 descidas (Para- raio);UN;13;ELÉTRICA, TELEFONE E LÓGICA;ABRAÇADEIRA;
Abraçadeira nylon (enforca-gato);UN;13;ELÉTRICA, TELEFONE E LÓGICA;ABRAÇADEIRA;
Abraçadeira nylon 160mm (enforca-gato/ fita hermam);UN;13;ELÉTRICA, TELEFONE E LÓGICA;ABRAÇADEIRA;
Abraçadeira nylon 2,5mm (enforca gato);UN;13;ELÉTRICA, TELEFONE E LÓGICA;ABRAÇADEIRA;
