Codigo;RazaoSocial;Código do Grupo;Grupo de Insumos;Contato;Fone;WhatsApp;Email;CNPJ;Insc. Estadual;Endereco;Numero;Bairro;Cidade;Estado;Cep;Cartão Crédito;;;;;;;;;;;;
40;ACABAMENTOS BEL LAR LTDA;1;ACABAMENTO QUINA;André ;(31)3297-0022;(31)99613-1292;andre@bellar.com.br;17.311.465/0001-66;062.012.734-0059;Rua Nossa senhora de Lourdes;441    Galpão 09 e 10;Olhos D'agua;BELO HORIZONTE;MG;30.390-530;SIM;;;;;;;;;;;;
284;CASA ÚNICA MATERIAIS PARA CONSTRUÇÃO LTDA;1;ACABAMENTO QUINA;Vanderlan / Claudio;(31)2126-1000 ;(31)99994-3031;vanderlan.miranda@santacruzacabamentos.com.br;25.618.174/0001-43;062.017.715-0091;Av. Presidente Carlos Luz;2000F;Aparecida;BELO HORIZONTE;MG;31250-810;SIM;;;;;;;;;;;;
61;CEMACON MATERIAIS DE CONSTRUÇÃO LTDA;1;ACABAMENTO QUINA;Calisto;(31)3201-6266;(31)99922-3810;contato.cemacon@gmail.com;01.590.163/0001-34;062.336.639-0050;Av. D. Pedro II;1100;Bonfim;BELO HORIZONTE;MG;30710-010;SIM;;;;;;;;;;;;
74;CNR MATERIAIS DE CONSTRUÇÕES LTDA;1;ACABAMENTO QUINA;Ana Claudia / Ferreira;(31)3392-7272;(31)99948-9915;contagem@cnr.com.br;13.556.759/0010-98;001.764.345-0870;Via Expressa;2.525;Água Branca;CONTAGEM;MG;32370-485;SIM;;;;;;;;;;;;
131;EXCELSIOR COMERCIO E REPRESENTAÇÕES LTDA;1;ACABAMENTO QUINA;Wander Ferreira;(31)3238-5955 ;(31)99659-4337;gerente3@excelsiorbh.com.br;17.245.317/0001-90;062.008.077-0052;Av do Contorno;7357;Santo Antonio;BELO HORIZONTE;MG;30710-047;SIM;;;;;;;;;;;;
259;PONTO DO AZULEJO LTDA;1;ACABAMENTO QUINA;Geraldo (Dino);(31)3419-9400;(31)99253-7848;dino@pontodoazulejo.com.br;65.310.633/0001-41;062.748.265-0015;Avenida Abilio Machado;1415;Alipio de Melo;BELO HORIZONTE;MG;30830-440;SIM;;;;;;;;;;;;
312;TERRA REVESTIMENTOS LTDA;1;ACABAMENTO QUINA;Carlos / Joselei;(31)3286-4650 ;(31)99742-5551;vendas@tile.com.br;38.700.985/0001-30; 062.196.071-0000;Rua Outono;81;Carmo;BELO HORIZONTE;MG;30310-020;SIM;;;;;;;;;;;;
40;ACABAMENTOS BEL LAR LTDA;2;AGLOMERANTE;André ;(31)3297-0022;(31)99613-1292;andre@bellar.com.br;17.311.465/0001-66;062.012.734-0059;Rua Nossa senhora de Lourdes;441    Galpão 09 e 10;Olhos D'agua;BELO HORIZONTE;MG;30.390-530;SIM;;;;;;;;;;;;
284;CASA ÚNICA MATERIAIS PARA CONSTRUÇÃO LTDA;2;AGLOMERANTE;Vanderlan / Claudio;(31)2126-1000 ;(31)99994-3031;vanderlan.miranda@santacruzacabamentos.com.br;25.618.174/0001-43;062.017.715-0091;Av. Presidente Carlos Luz;2000F;Aparecida;BELO HORIZONTE;MG;31250-810;SIM;;;;;;;;;;;;
61;CEMACON MATERIAIS DE CONSTRUÇÃO LTDA;2;AGLOMERANTE 2;Calisto;(31)3201-6266;(31)997559831;contato.cemacon@gmail.com;01.590.163/0001-34;062.336.639-0050;Av. D. Pedro II;1100;Bonfim;BELO HORIZONTE;MG;30710-010;SIM;;;;;;;;;;;;
74;CNR MATERIAIS DE CONSTRUÇÕES LTDA;2;AGLOMERANTE;Ana Claudia / Ferreira;(31)3392-7272;(31)99948-9915;contagem@cnr.com.br;13.556.759/0010-98;001.764.345-0870;Via Expressa;2.525;Água Branca;CONTAGEM;MG;32370-485;SIM;;;;;;;;;;;;
163;ICAL IND. DE CALCINAÇÃO LTDA;2;AGLOMERANTE;Bernardo;(31)3421-2996 ;(31)9974-2664;bernardonpereira@gmail.com;17.157.264/0001-56;763.009.904-0018;Rod. MG 424; Km 6;Zona Rural;SÃO JOSÉ DA LAPA;MG;33350-000;NÃO;;;;;;;;;;;;
93;JB COMERCIO E DISTRIBUIDORA LTDA;2;AGLOMERANTE;Helena Fernandes;(31)3482-5433;(31)97300-0263;vendas@jbcimento.com.br, helena@jbcimento.com.br;15.373.066/0001-02;001.946.815-0070;Rua Vila Real ;767;São Francisco;BELO HORIZONTE;MG;31255-150;NÃO;;;;;;;;;;;;
164;MAFRAN REPRESENTACOES E COMERCIO LTDA;2;AGLOMERANTE;Gilson / Marina / Letícia;(31)3378-6628;(31)99392-9817;mafranrep@gmail.com;02.433.943/0001-33;062.754.209-0002;Av. Professor Mário Werneck;2900  Lj 13;Buritis;BELO HORIZONTE;MG;30575-180;NÃO;;;;;;;;;;;;
259;PONTO DO AZULEJO LTDA;2;AGLOMERANTE;Geraldo (Dino);(31)3419-9400;(31)99253-7848;dino@pontodoazulejo.com.br;65.310.633/0001-41;062.748.265-0015;Avenida Abilio Machado;1415;Alipio de Melo;BELO HORIZONTE;MG;30830-440;SIM;;;;;;;;;;;;
303;TECFER COMERCIO DE FERROS E MATERIAIS DE CONSTRUÇÃO LTDA;2;AGLOMERANTE;Alexandre / Claudia;(31)3374-6000;(31)3374-6000;gerencia@tecfer.com.br, gerentegeral@tecfer.com.br;42.979.237/0001-06;062.824.992-0073;Av. Tereza Cristina;6822;Nova Vista;BELO HORIZONTE;MG;30516-120;SIM;;;;;;;;;;;;
