nome,telefone,whatsapp,email
A PONTOMAIS COMERCIO E LOCACAO DE RELOGIO DE PONTO LTDA,(31)3272-3808,,vendas@apontomais.com.br
ABCK COMERCIO DE MATERIAL ELETRICO LTDA,(31)3481-1890,(31)98272-9729,abacoprojetos@gmail.com
ACR COMERCIO DE PARAFUSOS LTDA,3134261081,(31) 9818-5607,acrparafusos@acrparafusos.com.br
AFS EQUIPAMENTOS LTDA,(31)3491-5004,(31) 3491-5004,afsequipamentosmg@gmail.com
ALALUX COMERCIAL LTDA,3121121111,(31) 99166-8989,e-commerce@alalux.com.br
ALOX ALUMINIUM COMERCIO E IND LTDA,(31) 3514-8700,(31) 99814-7051,fernando@aloxaluminium.com.br
ALTALUMINA ACESSÓRIOS EM ALUMÍNIO LTDA,(31) 3337-9707,(31) 3275-3400,alumina.esquadria@gmail.com
ALUGERAIS COMERCIO DE ALUMINIO LTDA,(31)3421-2000,(31) 98417-6315,ramonalugerais@hotmail.com
ALUMAFER ESQUADRIAS DE ALUMINIO E FERRO LTDA,(31) 3433-4966,(31) 99206-8885,alumafer@terra.com.br
ALUMASA INDUSTRIA DE PLASTICO E ALUMINIO LTDA,(31) 3485-2726,(31) 99608-2726,fiorenza@fiorenzaengenharia.com.br
ANALUX ANAVAN LTDA,(31) 3222-7322,(31) 98433-1636,analuxanavan@hotmail.com
ANEL LAZER E PISCINAS LTDA,(31) 3417-7533,(31) 98814-7807,anel.lazerpiscinas@gmail.com
AQUAVINIL  P. C. A COM. PISCINA LTDA,(31)3297-3520 / 98413-5095,(31)0000,aquavinilpiscinas@gmail.com
ÁQUILA LTDA,(31)3297-8840,(31)0000,aquila@aquilaseguranca.com.br
ARCELORMITTAL BRASIL S.A,(31)3379-1400,(31) 98742-9434,rosemeire.barbosa@arcelormittal.com.br
ARCOMINAS LTDA,(31)3352-1000,(31)98477-2399,arcominas@arcominas.com.br
ARCONGEL REFRIGERAÇÃO SOARES LTDA,(31) 3295-3600,(31) 98793-2667,dawson@arcongel.com.br
ARDOGAMA PEDRAS DECORATIVAS LTDA,(31)3373-1220,(31)98673-0137,ardogama@hotmail.com
ARGOS PREMOLDADOS LTDA,(31) 9840-9600,(31) 98409-6002,argospremoldados@outlook.com
ARKSOL INDÚSTRIA E COMÉRCIO LTDA,(31)21080000,(31)998852000,arksol@arksol.com.br
ARM-CORT,3121034001,(31) 99757-0836,luis@armcort.com.br
ARMACELL BRASIL LTDA,(11)98409-6379,(11)98409-6379,elaine.brito@armacell.com
ARTEFACIL INDÚSTRIA E COMÉRCIO DE PREMOLDADOS LTDA,(31) 9764-5628,(31) 99764-5628,jennifer@artefacil.com.br
ARTEFATOS DE BORRACHA UNIÃO LTDA,(31)3272-6252,(31)99392-4948,vendas@borrachasuniao.com.br
ARTEFATOS DE CHAPAS IND. E COM. S/A,(31) 3328-4800,(31) 99981-6515,artefatos@artefatosdechapas.com.br
ASSIS TELAS COMÉRCIO E INDUSTRIA LTDA,(31)3486-9491,(31)3486-8389,assistelas@assistelas.com.br
ATACADÃO DAS TINTAS LTDA,(31)3449-4666,(31)99926-1472,gerencia@atacadaodastintas.com.br
ATEX DO BRASIL LOCAÇÃO DE EQUIPAMENTOS LTDA,(31)3681-3611,(31)99297-0847,marketing@atex.com.br
BARACHO PEDRAS INDUSTRIA E COMERCIO LTDA,(31)3462-3256,(31)99213-6546,eliete@barachopedras.com.br
BEAGRASS - BH GRAMAS LTDA,(31)3223-7577,(31)99971-7667,bhgramas@uai.com.br
BEL MADEIRAS E FERRAGENS EIRELI EPP,(31)3270-3000,(31) 99359-7014,kelly@mdfsobmedida.com.br
BENDGLASS COM E IND LTDA,(31)3361-5599,(31)97579-9237,bendglass@bendglass.com.br
BEXENERGY,(31) 9100-3386,(31) 8306-0000,bexenergyltda@gmail.com
BH COMERCIO DE TINTAS E MATERIAIS PARA CONSTRUÇÃO LTDA,(31) 3411-6199,(31) 99347-1634,Alysson@bhtintas.com.br
BH IMPERMABILIZANTES LTDA,(31) 3378-2800,(31) 98278-8537,bhimper@gmail.com
BH MADEFORMAS,(31) 3222-8299,(31) 99769-2033,telmo@bhmadeiras.com.br
BH MADEIRAS LTDA,(31) 3371-8100,(31) 99769-2033,telmo@bhmadeiras.com.br
BH MÓVEIS PARA ESCRITÓRIO LTDA,(31)3444-8302,(31)98228-1816,bhmoveis@bhmoveis.com.br
BLOCO SIGMA LTDA,(31) 3385-6544,(31) 99900-0200,comercial04@blocosigma.com.br
BLOJAF LTDA,(31) 3394-4311,(31) 3514-1200,tomaz@blojaf.com.br
BORRACHA DO BRASIL IND. E COM. LTDA,(31)3691-1788,(31)99282-6012,vendas@borrachadobrasil.com.br
BP AÇOCUBAS LTDA,(31) 3376-1718,(31) 98324-9004,comercial@acocubas.com.br
BRAGA & OLIVEIRA REPRESENTAÇÕES LTDA.,(31) 3386-4778,(31)0000,elderson.escritorio@hotmail.com
BRB PREMOLDADOS DE CONCRETO LTDA,(31) 3249-0400,(31) 98623-0663,thiago@brbpremoldados.com.br
CABOS DE AÇO BH LTDA,3136655263,(31) 97546-8943,vendas@caboscar.com.br
CAPITAL MIX CONCRETO LTDA,(31) 3288-2188,(31) 99686-3590,wagner.santana@capitalconcreto.com.br
CASA DA RESINA LTDA,(31) 3422-6799,(31) 8738-8165,financeirocasadaresina@gmail.com
CASA DAS POLIAS LTDA,(31)3271-9197,(31)0000,luizfernando@casadaspolias.com.br
CASA DO IMPERMEABILIZANTE LTDA,(31) 3411-7405,(31) 3411-6666,contato@casadoimpermeabilizante.com.br
